,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Firmicutes Clostridia Clostridiales Clostridiales_Incertae_Sedis_XIII,4,8,2,58,15,12,0,0,3,32,18,2,0,6,2,53,14,8,0,0,10,124,16,6,11,25,22,18,16,1
Firmicutes Clostridia Clostridiales Eubacteriaceae,0,28,8,0,6,130,0,0,0,8,17,1,0,0,7,10,65,67,0,1,0,3,4,176,0,24,1,1,7,109
Firmicutes Clostridia Clostridiales Lachnospiraceae,32294,20389,28423,2053,9091,15663,42739,21979,26804,5385,8880,18999,36270,23346,21650,3954,8753,12774,37196,15668,18036,1640,12351,9454,32315,22863,23064,3310,12457,13159
Firmicutes Clostridia Clostridiales Peptostreptococcaceae,2,40,0,0,0,77,4,147,0,0,5,1,0,321,0,5,2,0,0,142,0,0,0,0,0,111,0,0,0,0
Firmicutes Clostridia Clostridiales Ruminococcaceae,4652,7671,1237,309,2275,2749,7456,5347,1941,841,1686,2656,8793,7858,2112,1271,1888,2643,8487,4921,1373,392,827,2792,5132,9588,2699,741,2159,3251
Firmicutes Clostridia Clostridiales unknown,0,62,167,0,56,96,2,7,72,15,33,339,1,15,69,23,48,125,0,1,54,6,111,289,13,55,118,4,36,92
Firmicutes Clostridia unknown unknown,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes Erysipelotrichia Erysipelotrichales Erysipelatoclostridiaceae,2,33,0,374,114,174,4,32,14,90,85,135,4,17,7,190,129,403,6,25,1,20,7,86,3,49,1,20,128,707
Firmicutes Erysipelotrichia Erysipelotrichales Erysipelotrichaceae,463,1703,435,6752,1661,2773,837,1228,502,4423,1259,1762,865,1546,522,4390,1201,1670,877,1664,618,12718,1312,2428,781,2248,543,6547,1078,965
Firmicutes Erysipelotrichia Erysipelotrichales unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes Negativicutes Acidaminococcales Acidaminococcaceae,3,1784,19,41,21,31,14,0,17,14,10,2,6,1,11,21,14,7,5,0,12,34,13,2,8,510,29,12,13,16
Firmicutes Negativicutes Selenomonadales Selenomonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes Negativicutes Veillonellales Veillonellaceae,0,0,0,0,0,0,2,0,0,0,0,0,1255,5,0,0,0,0,9,0,0,0,0,0,127,0,0,0,0,0
Firmicutes Negativicutes unknown unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes unknown unknown unknown,0,7,0,0,0,0,0,0,0,0,0,0,0,47,43,0,0,0,3,0,0,0,0,0,2,0,1,0,0,14
Fusobacteria Fusobacteriia Fusobacteriales Fusobacteriaceae,2,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lentisphaerae Lentisphaeria Victivallales Victivallaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Caulobacterales Caulobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Kiloniellales Kiloniellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhizobiales Aurantimonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhizobiales Boseaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhizobiales Bradyrhizobiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhizobiales Devosiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhizobiales Pleomorphomonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhizobiales Rhizobiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhizobiales Stappiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhizobiales unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhodospirillales Azospirillaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhodospirillales Rhodospirillaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhodospirillales unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Sphingomonadales Erythrobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Sphingomonadales Sphingomonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Sphingomonadales Sphingosinicellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Betaproteobacteria Burkholderiales Burkholderiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Betaproteobacteria Burkholderiales Oxalobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
