"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Proteobacteria Gammaproteobacteria Enterobacterales Enterobacteriaceae",11939.6457674351,12.0196957134813,1.05196013561802,11.4259992432317,3.10068300430266e-30,8.68191241204744e-29
"Firmicutes Clostridia Clostridiales Lachnospiraceae",12436.111173163,-4.22220285992405,0.453737548884182,-9.30538561401226,1.33506992100656e-20,1.86909788940918e-19
"Firmicutes Erysipelotrichia Erysipelotrichales Erysipelotrichaceae",2947.87263423955,4.2899100592949,0.553977468682374,7.74383490631556,9.64622444994285e-15,9.00314281994666e-14
"Firmicutes Clostridia Clostridiales Ruminococcaceae",2713.79419617627,-2.42821057832506,0.528362276942336,-4.59573039993933,4.31235986528669e-06,3.01865190570068e-05
"Firmicutes Clostridia unknown unknown",19.5684075634755,8.21217521969817,1.88273856954386,4.36182449998237,1.2898231590439e-05,7.22300969064581e-05
"Firmicutes unknown unknown unknown",144.624729622288,-7.95546231270889,1.94051552141089,-4.09966435461681,4.13749755988399e-05,0.000193083219461253
"Firmicutes Negativicutes Acidaminococcales Acidaminococcaceae",6164.41708210512,1.29282459579398,0.361062101636936,3.5806156058272,0.000342785636082032,0.00137114254432813
"Proteobacteria Betaproteobacteria Burkholderiales Sutterellaceae",8459.94193993957,-1.81990633408507,0.514913634536502,-3.53439142415262,0.000408715317220639,0.00143050361027224
"Firmicutes Clostridia Clostridiales unknown",118.298116333634,-1.99142029250954,0.635259898803392,-3.1348119033811,0.00171964335805667,0.00535000155839854
"Firmicutes Clostridia Clostridiales Clostridiales_Incertae_Sedis_XIII",40.2084042144027,2.98950109811426,0.996492522671936,3.00002361292023,0.00269958677290715,0.00755884296414002
"Firmicutes Clostridia Clostridiales Christensenellaceae",185.919223969773,-4.0577081375572,1.5979228371615,-2.53936425664033,0.0111054131488107,0.0282683243787907
"Proteobacteria Deltaproteobacteria Desulfovibrionales Desulfovibrionaceae",3475.49612764689,0.988597209205296,0.465825613201427,2.1222474273389,0.0338169657283372,0.0789062533661202
"Proteobacteria Betaproteobacteria Burkholderiales Oxalobacteraceae",31.7020525569163,-3.14996853011724,1.68576135978665,-1.86857321875969,0.0616822146360251,0.132854000754516
"Bacteroidetes Bacteroidia Bacteroidales Rikenellaceae",1779.32306229444,-1.26591120349163,0.715713559025361,-1.76874000433289,0.0769372730078389,0.153874546015678
"Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae",4293.04843423332,-1.3448956817921,0.79014661710309,-1.70208370532913,0.0887396780398944,0.165647399007803
"Verrucomicrobia Verrucomicrobiae Verrucomicrobiales Akkermansiaceae",25674.697771771,-1.01613477556806,0.701242305624574,-1.44904944755582,0.147323774069346,0.257816604621356
"Firmicutes Erysipelotrichia Erysipelotrichales Erysipelatoclostridiaceae",134.265421507055,1.19394786388936,0.865908020400922,1.37883913274825,0.167944358250226,0.276614237118019
"Actinobacteria Coriobacteriia Coriobacteriales Coriobacteriaceae",4.2978873164487,-2.66258297762273,2.26877568753036,-1.17357700554392,0.240564495978181,0.350274047363173
"Firmicutes Clostridia Clostridiales Catabacteriaceae",3.82773880672163,-2.15417249751959,1.85633148199076,-1.16044602939634,0.245867255432519,0.350274047363173
"Bacteroidetes Bacteroidia Bacteroidales Bacteroidaceae",110643.902489575,0.285016826831506,0.247867864720629,1.14987405548819,0.250195748116552,0.350274047363173
"Proteobacteria unknown unknown unknown",460.760515472481,1.163890717667,1.63910336192976,0.710077683140568,0.477655964595104,0.636874619460139
"Bacteroidetes Bacteroidia Bacteroidales Odoribacteraceae",525.937671595771,0.202321106317894,0.42497981276937,0.476072275055782,0.634022888166135,0.797074405734626
"Bacteroidetes Bacteroidia Bacteroidales Barnesiellaceae",1010.42481693277,-0.241386158325855,0.566992905463128,-0.425730473873721,0.670304253861411,0.797074405734626
"Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae",18599.4909575407,0.115534136260905,0.307746418092828,0.375419921950336,0.707348191018992,0.797074405734626
"unknown unknown unknown unknown",8.95458595351414,0.374742696122928,1.10089602970579,0.34039789953923,0.733556900277605,0.797074405734626
"Firmicutes Clostridia Clostridiales Eubacteriaceae",32.6633447773578,0.362878152795918,1.13619000926177,0.319381573361743,0.749437182062159,0.797074405734626
"Firmicutes Bacilli Lactobacillales Streptococcaceae",39.3132966118616,-0.708996434560653,2.40993863854732,-0.294196882534746,0.768607462672675,0.797074405734626
"Firmicutes Clostridia Clostridiales Peptostreptococcaceae",18.3548975421296,-0.109824236042617,2.59313151468984,-0.0423519730566972,0.966218113916702,0.966218113916702
